
Employee ID's,Start Time,End Time
"[1, 2, 3]",15.5,16.5
Employee ID's,Start Time,End Time
"[1, 2, 3]",15.5,16.5
Employee ID's,Start Time,End Time
"[1, 2, 3]",15.5,16.5
Employee ID's,Start Time,End Time
"[2, 3]",11.5,12.0
Employee ID's,Start Time,End Time
[13],12.0,12.25
Employee ID's,Start Time,End Time
"[1, 2]",11.5,12.0
Employee ID's,Start Time,End Time
"[1, 2]",11.5,12.0
Employee ID's,Start Time,End Time
"[0, 1]",11.5,12.0
Employee ID's,Start Time,End Time
"[1, 2]",14.5,15.5
